pid	cnname	enname
518	???	Mademoiselle	
926	六福珠宝	Lukfood Jewellery	
1009	???	ZUKKA.PRO	
1008	名品眼镜	???	
511	泰克尼卡	TECNICA	
510	三星	SAMSUNG	
513	权金城	???	
512	吞云小莳	???	
515	妈妈好孩子	???	
514	九分仙芋	???	
517	天梭	TISSOT	
516	???	GAP	
623	???	bovrjois	
622	???	OFFSUN	
621	小时代	???	
620	望湘园	???	
627	???	H&M	
626	大嘴猴	paul frank	
625	???	promod	
624	蜜丝佛陀	maxfactor	
450	大型家电	???	
451	维斯德尔	Vidsel	
629	???	bershop	
628	悦瓷坊	???	
454	钟表	???	
455	双立人	zwilling	
456	拉歌蒂尼	Lagostina	
457	欧克欧	OQO	
1084	黛玛诗	???	
979	欧洲胡同	???	
179	???	modelab	
178	安莉芳	embryform	
177	???	Masfer.Su	
199	卡奴迪路	Canudilo	
175	卡迪娜	Kadina	
174	玛丽莎	Melissa	
173	萨瑞儿	???	
172	???	amanda	
171	???	EdenRose	
198	???	CAPEL	
977	巧手改衣	???	
182	欣姿芳		
975	宾度	???	
974	???	V&G	
973	???	BODY.WILD	
972	爱慕先生	AIMER MEN	
971	兰芝	LANEIGE	
183	恩裳	INSUN	
1080	???	G. Vill	
180	舒雅	Schiesser	
253	凯利特	kellet	
978	钛德	TITAN	
656	利郎	Lilanz	
657	La Beaute美发沙龙	???	
654	真功夫	???	
655	和佰佳居	???	
186	逸品嘉诗	???	
187	???	FRETTE	
650	迪士尼宝宝	disney baby	
651	会员中心	???	
886	夏利豪箱包	Charriol	
652	巴布豆	Bobdog	
188	???	LEXINGTON	
189	馨亭	LaMaisondeDomitille	
658	指缘风情	???	
653	阿香米线	???	
184		MAXSTUDIO	
185	琉园	???	
1089	???	CADENZA	
764	热风	Hotwind	
1088	???	MARCBY MAEC.JACOBS	
11	季诺意式休闲餐厅	???	
10		VERO MODA	
13	欧迪芬	Ordifen	
12	烟酒茶叶	???	
15	爱慕	Aimer	
14	黛安芬	Triumph	
17	???	SALUTE	
16	华歌尔		
19	基格	???	
18	???	AMASS	
863	瑞而士	???	
862	罗莱家纺	???	
865	???	Swissweda	
864	???	COSME DECORTE	
867	???	CD	
866	碧欧泉	Biotherm	
884	公爵	DUKE	
938	???	DIOR BEAUTY	
659	英孚教育少儿	???	
883	瑞士维氏军刀	???	
753	十指秀	???	
881	凯萨大帝	???	
880	???	HANMSON	
887	???	Leonardo	
831	儿童套房	???	
885	???	LUCA BOSSI	
752	娘惹厨房	???	
928	美亚	MEYER	
62	娇兰	GUERLAIN	
888	迪莱克丝	DILAKS	
1012	德诗	Decoster	
1032	安莉芳 Triumph	???	
950		Salad	
756	唯尔亿	WE	
929	诺诗兰	NORTHLAND	
809	???	CARNIER THIEBAUT	
322	???	Lozio	
323	???	Luka DILONG	
320	乐美雅	Luminarc	
321		BOHEMIA	
326	???	Frognie Zila	
327	凯撒大帝	CAESAR	
324	路卡迪龙	LUKADILONG	
325	???	NOTTING HILL	
328	九牧王	Joeone	
329	依文	???	
759	八马茶业	???	
201	芝宝	ZIPPO	
200	???	Hash Puppies	
203	利马仕	Liemoch	
