PID,Displayname,Tag1,Tag2,Phone,Story
1010012800020037,LOREAL,个护化妆,个人护理,,欧莱雅集团世界美妆品行业中的的领导者，经营范围遍及130多个国家和地区，在全球拥有283家分公司、42家工厂、100多个代理商，以及5万多名的员工，是总部设于法国旳跨国公司，也是财富全球500强企业之一。
1010012800020038,阿芙香薰,个护化妆,个人护理,,阿芙精油是一家以精油为主导的化妆品公司，经过几年的发展，已经覆盖全国一二线城市的顶级商场，累计设有上百家形象专柜。AFU 阿芙精油品牌，是精油和植物护理品界的全球合作典范，由希腊AFAROTIZA公司提供技术，法国FCWLI 集团负责研发和检测，北京茂思商贸有限公司负责中国地区的运营及推广。 阿芙精油包含：单方精油、复方油、基础油以及含精油添加成分的护肤品。
1010012800020039,C.B,个护化妆,个人护理,,
1010012800020040,资生堂,个护化妆,个人护理,,SHISEIDO资生堂来自日本，是创始于1872年的高端化妆品品牌，一直致力于对美的追求。资生堂官方网上商城为您提供：护肤、防晒、彩妆、男士等产品信息和美颜方案。
1010012800020041,BVLGARI,其他,珠宝工艺品,,意大利的宝格丽，是继法国卡地亚和美国蒂芙尼之后的世界第三大珠宝品牌。宝格丽在首饰生产中以色彩为设计精髓，独创性地用多种不同颜色的宝石进行搭配组合，再运用不同材质的底座，以凸显宝石的耀眼色彩。
1010012800020042,莫施,个护化妆,化妆品,,相信生活必须是：mild 温和的，organic 有机的，scientific 科学的，cheery 愉快的，healthy 健康的，这是他们的生活风格。由此，他们组合发明了一个新单词“Mosch”。要把它翻译成中文并不容易，其核心理念是“温和的对待自己的身体和身边的自然，有意识地给他人快乐，传递善意，这个环境将变得越来越健康。” 他们称自己为Moschner，坚持Mosch 生活方式的实践。
1010012800020043,Giorgio Armani,个护化妆,个人护理,,
1010012800020044,LANCOME,个护化妆,个人护理,,兰蔻诞生于1935年的法国，是由Armand Petitjean（阿曼达·珀蒂让）创办的品牌。作为全球知名的高端化妆品品牌，兰蔻涉足护肤、彩妆、香水等多个产品领域，主要面向教育程度、收入水平较高，年龄在25～40岁的成熟女性。
1010012800020045,GUERLAIN,个护化妆,化妆品,,"娇兰（Guerlain）：成立于1828年，主营香水、化妆品及保养品。是酩悦·轩尼诗－路易·威登集团（Mo?t Hennessy - Louis Vuitton, LVMH Group）旗下的产品。"
1010012800020046,SK-II,个护化妆,个人护理,,SK-II35年专注于亚洲肌肤研究，以“晶莹剔透”为品牌理念，专利成分Pitera带给成千上万女性肌肤的奇迹蜕变。是目前在日本、香港、台湾、东南亚、韩国及中国等亚洲地区深受欢迎的护肤品牌。
