130983	黄骅市	hhs	38.3665	117.352	-5000
130984	河间市	hjs	38.4357	116.086	-10000
131000	廊坊市	lfs	39.5151	116.69	-5000
131002	安次区	acq			-10000
131003	广阳区	gyq			-10000
131022	固安县	gax	39.4356	116.301	-5000
131023	永清县	yqx	39.3257	116.491	-5000
131024	香河县	xhx	39.7652	116.996	-5000
131025	大城县	dcx	38.6959	116.622	-5000
131026	文安县	wax	38.8648	116.465	-5000
131028	大厂回族自治县	dchzzzx	39.8847	116.985	-5000
131081	霸州市	bzs	39.1015	116.395	-10000
131082	三河市	shs	39.9828	117.076	-10000
131100	衡水市	hss	37.7278	115.708	-5000
131102	桃城区	tcq			-10000
131121	枣强县	zqx	37.5026	115.718	-5000
131122	武邑县	wyx	37.806	115.891	-5000
131123	武强县	wqx	38.0431	115.977	-5000
131124	饶阳县	ryx	38.246	115.736	-5000
131125	安平县	apx	38.2305	115.511	-5000
131126	故城县	gcx	37.3438	115.971	-5000
131127	景县	jx	37.688	116.258	-5000
131128	阜城县	fcx	37.8682	116.145	-5000
131181	冀州市	jzs	37.566	115.564	-10000
131182	深州市	szs	38.0117	115.549	-5000
140000	山西省	sxs			-10000
140100	太原市	tys	37.8711	112.569	-5000
140105	小店区	xdq	37.734	112.567	-10000
140106	迎泽区	yzq			-10000
140107	杏花岭区	xhlq			-10000
140108	尖草坪区	jcpq	37.938203	112.481011	-10000
140109	万柏林区	wblq	37.859617	112.510085	-10000
140110	晋源区	jyq	37.728	112.478	-10000
140121	清徐县	qxx	37.6112	112.34	-5000
140122	阳曲县	yqx	38.0633	112.667	-5000
140123	娄烦县	lfx	38.0734	111.792	-5000
140181	古交市	gjs	37.9102	112.155	-5000
140200	大同市	dts	40.0971	113.296	-5000
140202	城区	cq			-10000
140203	矿区	kq	40.024	113.156	-10000
140211	南郊区	njq	39.999	113.128	-10000
140212	新荣区	xrq	40.257746	113.133795	-10000
140221	阳高县	ygx	40.3537	113.752	-5000
140222	天镇县	tzx	40.4158	114.082	-5000
140223	广灵县	glx	39.7636	114.276	-5000
140224	灵丘县	lqx	39.4377	114.229	-5000
140225	浑源县	hyx	39.6963	113.685	-5000
140226	左云县	zyx	40.0081	112.694	-5000
140227	大同县	dtx	40.039	113.594	-5000
140300	阳泉市	yqs	37.8607	113.574	-5000
140302	城区	cq			-10000
140303	矿区	kq	37.874	113.541	-10000
140311	郊区	jq	37.941	113.569	-10000
140321	平定县	pdx	37.802	113.622	-5000
140322	盂县	yx	38.091	113.413	-5000
140400	长治市	czs	36.1819	113.106	-5000
140402	城区	cq			-10000
140411	郊区	jq			-10000
140421	长治县	czx	36.0454	113.045	-5000
140423	襄垣县	xyx	36.5346	113.041	-5000
140424	屯留县	tlx	36.3219	112.882	-5000
140425	平顺县	psx	36.2009	113.431	-5000
140426	黎城县	lcx	36.5043	113.38	-5000
140427	壶关县	hgx	36.1135	113.2	-5000
140428	长子县	czx	36.1199	112.874	-5000
140429	武乡县	wxx	36.8368	112.863	-5000
140430	沁县	qx	36.7574	112.699	-5000
140431	沁源县	qyx	36.4971	112.33	-5000
140481	潞城市	lcs	36.3351	113.221	-5000
140500	晋城市	jcs	35.5065	112.843	-5000
140502	城区	cq			-10000
140521	沁水县	qsx	35.6904	112.17	-5000
140522	阳城县	ycx	35.4906	112.418	-5000
140524	陵川县	lcx	35.7781	113.277	-5000
140525	泽州县	zzx	35.466	112.791	-5000
140581	高平市	gps	35.7921	112.92	-10000
140600	朔州市	szs	39.3131	112.423	-5000
140602	朔城区	scq			-10000
140603	平鲁区	plq	39.521	112.286	-10000
140621	山阴县	syx	39.5142	112.837	-5000
140622	应县	yx	39.5602	113.182	-5000
140623	右玉县	yyx	39.9844	112.457	-5000
140624	怀仁县	hrx	39.8201	113.103	-5000
140700	晋中市	jzs	37.6761	112.745	-5000
140702	榆次区	ycq			-10000
140721	榆社县	ysx	37.0709	112.964	-5000
140722	左权县	zqx	37.0743	113.368	-5000
140723	和顺县	hsx	37.3314	113.567	-5000
140724	昔阳县	xyx	37.6084	113.697	-5000
140725	寿阳县	syx	37.8868	113.169	-5000
140726	太谷县	tgx	37.4255	112.553	-5000
140727	祁县	qx	37.3538	112.315	-5000
140728	平遥县	pyx	37.2073	112.178	-5000
140729	灵石县	lsx	36.8422	111.776	-5000
140781	介休市	jxs	37.0265	111.912	-10000
140800	运城市	ycs	35.0139	110.991	-5000
140802	盐湖区	yhq			-10000
140821	临猗县	lyx	35.1479	110.774	-5000
140822	万荣县	wrx	35.4156	110.832	-5000
140823	闻喜县	wxx	35.3577	111.217	-5000
140824	稷山县	jsx	35.6022	110.979	-5000
140825	新绛县	xjx	35.6164	111.216	-5000
140826	绛县	jx	35.4892	111.561	-5000
140827	垣曲县	yqx	35.3008	111.67	-5000
140828	夏县	xx	35.1375	111.22	-5000
140829	平陆县	plx	34.8411	111.211	-5000
140830	芮城县	rcx	34.6973	110.688	-5000
140881	永济市	yjs	34.8666	110.444	-5000
140882	河津市	hjs	35.5874	110.698	-5000
140900	忻州市	xzs	38.3992	112.732	-5000
140902	忻府区	xfq			-10000
140921	定襄县	dxx	38.4927	112.944	-5000
140922	五台县	wtx	38.7192	113.259	-5000
140923	代县	dx	39.0604	112.949	-5000
140924	繁峙县	fsx/fzx	39.1901	113.272	-5000
140925	宁武县	nwx	39.007	112.305	-5000
140926	静乐县	jlx/jyx	38.3577	111.94	-5000
140927	神池县	scx	39.0934	112.195	-5000
140928	五寨县	wzx	38.9006	111.842	-5000
140929	岢岚县	klx	38.704	111.57	-5000
140930	河曲县	hqx	39.3802	111.138	-5000
140931	保德县	bdx	39.0124	111.079	-5000
140932	偏关县	pgx	39.4421	111.497	-5000
140981	原平市	yps	38.7288	112.699	-10000
141000	临汾市	lfs	36.0828	111.514	-5000
141002	尧都区	ydq			-10000
141021	曲沃县	qwx	35.6413	111.47	-5000
141022	翼城县	ycx	35.7388	111.708	-5000
141023	襄汾县	xfx	35.8677	111.437	-5000
141024	洪洞县	hdx	36.2594	111.683	-5000
141025	古县	gx	36.2829	111.917	-5000
141026	安泽县	azx	36.1441	112.24	-5000
141027	浮山县	fsx	35.9674	111.842	-5000
141028	吉县	jx	36.0956	110.675	-5000
141029	乡宁县	xnx	35.9732	110.833	-5000
141030	大宁县	dnx	36.4699	110.743	-5000
